cook_time,cuisine,ingredients,ingredients_full,name,prep_time,rating,rating_count,servings
over 2 hours,British,"treacle,fillet of beef,black pepper,vegetable oil,butter,potatoes,spinach,red wine,eggs,milk,plain flour","200g/7oz black treacle,1 x 800g/1lb 12oz fillet of beef (a middle cut such as rib or loin), at room temperature,salt and black pepper,3-4 tbsp vegetable oil,2 knobs of butter,8 potatoes (such as Maris Piper), peeled and cut into large chunks ,500g/1lb 2oz spinach, washed,500ml/18fl oz red wine sauce or gravy, to serve ,4 free-range eggs,350ml/12fl oz milk,225g/8oz plain flour",Treacle-cured roast beef with Yorkshire puddings,overnight,5,1,Serves 4-6
10 to 30 mins,Turkish and Middle Eastern,"olive oil,cod,sea salt,olives,preserved lemons,chillies,coriander,olive oil","2 heaped tbsp Za’atar ,4 tbsp olive oil, plus extra for frying,400g/14oz prime cod fillet or loin (or a different firm white fish), cut in to 4 pieces,sea salt,24 Kalamata olives, stones removed,6 preserved lemons, halved and roughly chopped,8 pickled chillies, thinly sliced,1 small bunch of coriander, roughly chopped,olive oil ",Za’atar cod with relish ,less than 30 mins,5,2,Serves 4
over 2 hours,Turkish and Middle Eastern,"walnut,molasses,tomato purée,cinnamon,caster sugar,salt,black pepper,chicken thighs,pomegranate,rice","250g/9oz walnut halves,2 ice cubes,125ml/4½fl oz pomegranate molasses, plus extra to taste,1 tbsp concentrated tomato purée,¼ tsp ground cinnamon,2 tbsp caster sugar, plus extra to taste,2 tsp salt,1 tsp freshly ground black pepper,800g/1¾lb chicken thighs, bone-in, skin removed ,pomegranate seeds, to garnish (optional),steamed rice, to serve",Fesenjoon ,less than 30 mins,4.916666666666667,12,Serves 4
over 2 hours,British,"gammon,onions,carrots,celery,bay leaves,black peppercorns,cloves,honey,English mustard","2kg/4lb 8oz unsmoked boneless gammon joint, tied,2 onions, halved,2 carrots, unpeeled, cut into 5cm/2in pieces,2 celery stalks, cut into 5cm/2in pieces,4 bay leaves,12 black peppercorns,small handful cloves,4 tbsp runny honey,4 tbsp English mustard",Honey-glazed gammon,less than 30 mins,4.813559322033898,59,Serves 10
over 2 hours,British,"lamb neck,black pepper,vegetable oil,butter,kidneys,onions,garlic,flour,red wine,beef stock,Worcestershire sauce,bay leaf,thyme,floury potatoes,butter,cauliflower,butter,plain flour,milk,egg yolks,English mustard,cheddar","1.5kg/3lb 5oz lamb neck fillet, cut into 2.5cm/1in pieces,sea salt and freshly ground black pepper,1 tbsp vegetable oil,75g/2¾oz butter,6 lambs’ kidneys, trimmed, skinned and chopped,2 large onions, thickly sliced,2 sprigs fresh rosemary, leaves only, chopped,3 garlic cloves, roughly chopped,2 tbsp plain flour,150ml/5fl oz red wine,500ml/18fl oz beef stock,2 tbsp Worcestershire sauce,1 bay leaf,2 sprigs fresh thyme,1.5kg/3lb 5oz floury potatoes, peeled and cut into 5mm/ 1/4in thick slices,50g/1¾oz unsalted butter, melted,1 large cauliflower, cut into florets,50g/1¾oz butter, plus extra for greasing,50g/1¾oz plain flour,450ml/16fl oz milk,2 free-range egg yolks,1 tsp English mustard,200g/7oz Lincolnshire Poacher (or strong cheddar) cheese, grated",Lamb hotpot with cauliflower cheese,less than 30 mins,5,1,Serves 6-8
10 to 30 mins,Spanish,"olive oil,onion,fennel,chorizo,chilli,fennel seeds,garlic,paprika,thyme,saffron,plum,white wine,mussels,white fish,almonds,lemon,spring greens","6 tbsp olive oil,1 large Spanish onion, chopped,2 fennel bulbs, chopped,150g/5oz chorizo, diced,1 red chilli, finely chopped,1 tsp fennel seeds, ground,2 cloves new season garlic, crushed,½tsp sweet paprika powder,1 tbsp fresh thyme leaves,1 tsp saffron strands (optional),3 fresh bay leaves,1 tin plum tomatoes,100ml/3½ fl oz fish stock or water,150ml/5 fl oz white wine ,500g/1 lb 2oz mussels, cleaned,650g/1 lb 7 oz firm white fish (bream, pollock, cod, monkfish), filleted, dredged in flour and fried in olive oil,100g/3½ oz toasted almonds, ground,1 lemon, cut into wedges,steamed potatoes and spring greens",Catalan fish stew,less than 30 mins,5,4,Serves 4
over 2 hours,Spanish,"olive oil,onion,carrot,garlic,cumin,paprika,raisins,sherry,chicken stock,chocolate,waxy potatoes,olive oil,garlic,cumin,butter,white bread,almonds,thyme,orange,parsley,black pepper","1-2 tbsp olive oil, for frying,750g/1lb 10oz pigs' cheeks, preferably Ibérico pork or Gloucestershire Old Spot, trimmed of fat and sinew,1 onion, chopped,1 carrot, chopped,4 garlic cloves, chopped,½ tsp cumin seeds,1 tsp smoked paprika,2 tsp raisins,200ml/7fl oz oloroso sherry,750ml/1¼ pints good-quality beef or dark-chicken stock,25g/1oz bitter chocolate,700g/1lb 8oz waxy potatoes such as Desirée potatoes, peeled, cut into cubes,1 tbsp olive oil, for frying,3 garlic cloves, finely sliced,1 tsp crushed cumin seeds,125g/4½oz softened unsalted butter,1 slice crusty white bread, crusts removed, cut into chunks,70g/2½oz blanched almonds, preferably Spanish,1 tsp fresh thyme leaves,½ tsp grated orange zest,small handful fresh flatleaf parsley leaves,sea salt and freshly ground black pepper",Braised pigs' cheeks with garlic-cumin potatoes,less than 30 mins,5,2,Serves 4-6
10 to 30 mins,Spanish,"King Edward,garlic,black pepper,olive oil,black pepper,olive oil,garlic,rosemary,peppers,sherry,parsley,mint,lettuce,lettuce,almonds,paprika","1 kg/2lb 2oz potatoes, such as King Edward or Maris Piper, peeled, cut into equal-sized pieces,2 garlic cloves, peeled,2 bay leaves,salt and freshly ground black pepper,75-110ml/3-4fl oz extra virgin olive oil,4 x 200g/7oz slices fillet steak, sliced into 1cm/½in wide strips,salt and freshly ground black pepper ,2 tbsp extra virgin olive oil, plus extra for drizzling,1 garlic clove, peeled, finely diced,1 fresh rosemary sprig,1 x 225g/8oz jar piquillo peppers, drained, sliced,6 tbsp dry oloroso sherry,4 fresh flatleaf parsley sprigs, leaves only, chopped,4 fresh mint sprigs, chopped,2 heads crisp lettuce, such as Romaine lettuce, leaves separated, sliced,25g/1oz flaked toasted almonds,1 pinch hot smoked paprika",Sherry steak with mash,less than 30 mins,5,1,Serves 4
10 to 30 mins,Turkish and Middle Eastern,"olive oil,cinnamon,cayenne pepper,cumin,garlic,chicken thighs,black pepper,garlic,sea salt,chilli,chilli,coriander,mint,olives,olive oil,balsamic vinegar,lemon juice,plain flour,salt,ghee,cucumber,olive oil,white wine vinegar,Dijon mustard,lemon,yoghurt","6 tbsp olive oil,½ tsp ground cinnamon,¾ tsp cayenne pepper,1 tsp ground cumin,2 garlic cloves, grated,6 boneless chicken thighs, skin removed,salt and freshly ground black pepper,2 garlic cloves, chopped,sea salt flakes,1 green chilli, halved, seeds removed, roughly chopped,1 red chilli, halved, seeds removed, roughly chopped,15g/½oz fresh coriander, roughly chopped,8 sprigs of mint, leaves only, roughly torn,70g/2½oz pitted green olives, roughly chopped,6 tbsp extra virgin olive oil,2 tbsp white balsamic vinegar,good squeeze of lemon juice,200g/7oz plain flour,½ tsp salt,2 tbsp ghee, melted,¼ cucumber, sliced,handful of baby leaves,3 tbsp olive oil,1 tbsp white wine vinegar,1 tsp Dijon mustard,lemon wedges,200ml/7fl oz Greek yoghurt",Turkish spiced chicken with flatbreads and green relish,over 2 hours,5,12,Serves 4-6
30 mins to 1 hour,Turkish and Middle Eastern,"sunflower oil,cinnamon,cloves,cardamom,garlic,ginger,red onions,chillies,curry leaves,chicken,chicken,salt,black peppercorns,coconut milk,white wine vinegar,garam masala,basmati rice,vegetable oil,star anise,cardamom,bay leaves,onion,curry leaves,salt,sugar,white wine vinegar,coconut milk","3 tbsp coconut oil or sunflower oil,5cm/2in cinnamon stick,6 cloves,4 green cardamom pods,4 garlic cloves, thinly sliced,5cm/2in piece fresh root ginger, peeled and cut into small matchsticks,2 red onions, thinly sliced ,8 green chillies, slit lengthways,15 curry leaves,1kg–1.3kg/2lb 4oz–2lb 14oz chicken, jointed into 8 pieces, or 8 chicken pieces, skin removed,2 tsp salt,1 tbsp black peppercorns, coarsely crushed ,590ml/19fl oz coconut milk,5 tbsp toddy (palm) vinegar (or sherry vinegar or sweet white wine vinegar), to serve,1 tsp ground garam masala, to serve,240g/8½oz basmati rice, rinsed under running water,4 tbsp vegetable oil,2 star anise,4 green cardamom pods,2 bay leaves,1 onion, thinly sliced ,10 curry leaves ,1½ tsp salt,1½ tsp caster sugar,4 tbsp white wine vinegar,160ml/5½fl oz coconut milk",Suriani home-style chicken curry (‘ishtu’),30 mins to 1 hour,4,1,Serves 4-6
30 mins to 1 hour,Spanish,"chicken thighs,smoked paprika,sea salt,black pepper,olive oil,onions,pepper,pepper,thyme,bay leaves,chorizo,garlic,tomatoes,flour,plain flour,baking powder,sea salt,butter,egg yolk,milk","4 boneless, skinless chicken thighs, cut into bite-sized pieces,2 tsp smoked paprika,2 tsp flaked sea salt,freshly ground black pepper,2 tbsp olive oil,2 medium onions, cut into 12 wedges,1 green pepper, halved, seeded and sliced,1 red pepper, halved, seeded and sliced,3-4 sprigs fresh thyme,2 bay leaves,150g/5½oz chorizo sausage, skinned and cut into thin slices,3 garlic cloves, crushed,4 large ripe tomatoes (each about 100g/4½oz), skinned and roughly chopped,2 tbsp flour,225g/8oz plain flour, plus extra for dusting,1 tsp baking powder,½ tsp fine sea salt,75g/2¾oz unsalted butter, plus extra for greasing,1 medium egg yolk,4–5 tbsp cold water,1 egg, beaten, or full-fat milk, to glaze",Basque chicken and chorizo pie,less than 30 mins,4.454545454545454,11,Serves 4 - 5
30 mins to 1 hour,Turkish and Middle Eastern,"honey,soy sauce,vegetable oil,black peppercorns,chicken breast,garlic,peppers,courgette,cherry tomatoes,aubergine,couscous,lemon,black pepper,lemon","3 tbsp runny honey,3 tbsp soy sauce,5 tbsp vegetable oil ,¼ tsp black peppercorns, roughly crushed,4 x 150g/5½oz chicken breast fillets, cut into 2.5cm/1in cubes,2 garlic cloves, crushed,2 red peppers, seeds removed and cut into chunks,1 courgette, cut into chunks,10 cherry tomatoes ,1 aubergine, cut into chunks,375g/13oz couscous,600ml/20fl oz boiling water,½ lemon, juice only,salt and freshly ground black pepper,1 lemon, cut into wedges  ",Sticky chicken and vegetable kebabs with couscous,over 2 hours,5,3,Serves 5
10 to 30 mins,Turkish and Middle Eastern,"cucumber,red onion,rice vinegar,caster sugar,sesame oil,nigella seeds,dill,pomegranate,lamb shoulder,harissa,honey,cumin,cinnamon,sea salt,bread rolls","½ large cucumber ,½ red onion, finely chopped,2 tbsp rice vinegar ,2 heaped tsp caster sugar ,1 tsp sesame oil ,1 tsp nigella seeds,handful dill, fronds finely chopped ,100g/3½oz pomegranate seeds ,600g/1lb 5oz roasted lamb shoulder meat, shredded (if cooking from scratch, refer to the recipe tip below),2 tsp rose harissa ,6 tbsp clear honey ,1 heaped tsp ground cumin ,2 heaped tsp ground cinnamon ,pinch sea salt flakes,4 bread rolls, toasted just prior to serving (if desired), to serve",Sticky lamb buns with pickled cucumber relish,30 mins to 1 hour,5,2,Serves 4
30 mins to 1 hour,British,"plain flour,black pepper,eggs,milk,olive oil,sausages,olive oil,onions,English mustard,stock,stock,Savoy cabbage,olive oil,garlic","175g/6oz plain flour ,salt and black pepper,3 free-range eggs ,300ml/10fl oz milk ,2 tbsp olive oil,8 sausages ,1 tbsp olive oil ,2 onions, finely sliced ,½ tsp English mustard ,500ml/18fl oz stock (from a stock cube, ideally beef although chicken or vegetable is fine) ,1 Savoy cabbage, shredded, core discarded,½ tbsp olive oil ,2 garlic cloves, peeled and finely chopped ",Toad in the hole,1-2 hours,3.739130434782609,69,Serves 4
30 mins to 1 hour,British,"plain flour,salt,black pepper,eggs,milk,thyme,vegetarian sausages,Dijon mustard,beef dripping,butter","115g/4oz plain flour ,large pinch of salt ,freshly ground black pepper ,4 large free-range eggs ,300ml/½ pint milk ,2 tbsp/30g fresh thyme leaves,8 good quality pork, beef or vegetarian sausages ,2 tbsp/30g Dijon mustard,2 tbsp/30g of beef dripping or white vegetable fat for vegetarians,knob of butter, to serve",Traditional toad in the hole,30 mins to 1 hour,4.7,20,Serves 4-6
30 mins to 1 hour,British,"plain flour,milk,eggs,vegetable oil,pork sausages,black pepper,vegetable oil,butter,onions,garlic,thyme,Madeira,beef stock,potatoes,milk,butter,black pepper","225g/8oz plain flour,600ml/20fl oz full-fat milk,2 free-range eggs,2 tbsp vegetable oil,8 thick pork sausages,salt and freshly ground black pepper,2 tbsp vegetable oil,50g/1¾oz unsalted butter,2 white onions, thinly sliced,2 garlic cloves, thinly sliced,2 sprigs fresh thyme,75ml/2½fl oz Madeira,500ml/18fl oz beef stock,1kg/2lb 4oz potatoes, peeled and chopped,100ml/3½fl oz full-fat milk,100g/3½oz unsalted butter,salt and freshly ground black pepper",Toad in the hole with onion gravy and mash,1-2 hours,3,2,Serves 4
1 to 2 hours,Turkish and Middle Eastern,"aubergines,garlic,olive oil,pomegranate,pomegranate molasses,feta,mint,black pepper","2 aubergines,6 garlic cloves, unpeeled,8 tbsp olive oil,1 pomegranate,2 tbsp pomegranate molasses ,100g/3½oz feta,4 tbsp mint, smallest leaves only,salt and freshly ground black pepper",Stuffed aubergine with feta and pomegranate,less than 30 mins,4.833333333333333,6,Serves 4
10 to 30 mins,British,"eggs,plain flour,mustard,black pepper,pork sausages,Serrano ham,lard,madeira","2 free-range eggs,125g/4½oz plain flour,150ml/5fl oz milk mixed with 150ml cold water,1 level tbsp grain mustard,salt and freshly ground black pepper,6 fat, herby pork sausages,100g/3½oz thinly sliced prosciutto, pancetta, Serrano ham or thin streaky bacon,3 tbsp dripping or lard,brown onion and madeira gravy",Nigel Slater's toad in the hole,less than 30 mins,4.555555555555555,9,Serves 4
30 mins to 1 hour,British,"potatoes,butter,milk,Gruyère,butter,leeks,plain flour,white wine,milk,parsley,eggs","1kg/2lb 4oz peeled main crop potatoes, cubed ,knob of butter,a little milk,salt and pepper,50g/1¾oz Gruyère cheese, grated,75g/3oz butter ,2 leeks, sliced ,75g/2¾oz plain flour,150ml/5fl oz white wine ,568ml/1 pint milk,2 tbsp chopped parsley,750g/1lb 10oz mixture of salmon, smoked haddock and fresh haddock, skinned and cut into cubes,6 free-range eggs, hard-boiled, peeled and quartered",Three fish pie ,less than 30 mins,4.538461538461538,13,Serves 6
30 mins to 1 hour,British,"plain flour,baking powder,salt,butter,egg yolks,braising steak,plain flour,onion,swede,potato,butter,egg","450g/1lb plain flour, plus extra for dusting,2 tsp baking powder,1 tsp salt,125g/4½oz unsalted butter,2 free-range egg yolks,125ml/4½fl oz cold water,300g/11oz beef skirt (or braising steak), finely chopped,1 tbsp plain flour,150g/5oz onion, peeled, finely chopped,150g/5oz swede, peeled, finely chopped,450g/1lb potato, peeled, finely chopped,40g/1½oz butter,1 free-range egg, beaten",The people's Cornish pasty,1-2 hours,3.75,4,4-6
1 to 2 hours,British,"rapeseed oil,turkey,butter,sea salt,white pepper,black pepper,arrowroot,roast potatoes","20ml/¾fl oz rapeseed oil,1 x 5kg/11lb good-quality free-range turkey, preferably organically reared, wishbone removed (ask your butcher to remove the wings and neck and chop them into 2.5cm/1in pieces to use in the dish),40g/1½oz unsalted butter, softened to room temperature,2 pinches sea salt flakes,2 pinches freshly ground white pepper,200ml/7fl oz water,salt and freshly ground black pepper,1-2 tsp ground arrowroot (depending on how thick you like your gravy), dissolved in 1 tbsp cold water,roast potatoes and steamed seasonal vegetables, to serve",Perfect roast turkey,30 mins to 1 hour,4.733333333333333,15,Serves 8-10
30 mins to 1 hour,British,"butter,lard,plain flour,salt,white wine vinegar,butter,onions,salt,caster sugar,potatoes,crème fraîche,double cream,cheddar,Stilton,Gruyère,black pepper,nutmeg,egg","75g/2½oz unsalted butter, room temperature,75g/2½oz lard, room temperature,200g/7oz plain flour,½ tsp salt,½ tbsp white wine vinegar,about 150ml/5fl oz chilled water ,30g/1oz butter,280g/10oz onions, peeled, thinly sliced,1 tsp salt,2 tbsp caster sugar,930g/2lb 1oz potatoes, preferably Marabel variety, peeled, thinly sliced ,140g/5oz crème fraîche,4 tbsp double cream,100g/3½oz mature cheddar, grated,100g/3½oz Stilton, crumbled,100g/3½oz Gruyère, grated,freshly ground black pepper,1 tsp grated nutmeg,1 free-range egg, beaten","Three cheese, potato and caramelised onion pie",1-2 hours,5,4,Serves 4 - 6
30 mins to 1 hour,British,"King Edwards,white pepper,butter,gruyère,stock,vermouth,onion,fennel,carrot,celery,bay leaf,saffron,haddock,smoked haddock,salmon,prawns,butter,plain flour,milk,parsley,double cream,white pepper,butter,spinach,eggs,ciabatta,parmesan","1.5kg/3lb 5oz potatoes (such as King Edwards, Maris Piper or Estima),salt and white pepper ,butter, to taste,100g/3½oz grated gruyère cheese,1 litre/1 pint 15fl oz fish stock ,4 tbsp dry vermouth,1 onion, roughly chopped,1 small bulb of fennel, cored and chopped,1 small carrot, chopped,1 small stick of celery, chopped,1 bay leaf,pinch saffron,750g/1lb 10oz white fish (such as haddock, cod or hake),250g/9oz smoked haddock,200g/7oz salmon,120g/4oz raw prawns,75g/2½oz unsalted butter,75g/2½oz plain flour,150ml/5fl oz full-fat milk,large handful parsley, finely chopped,150ml/5fl oz double cream,salt and white pepper ,butter, to grease the dish,125g/4½oz leaf spinach ,4 hard-boiled eggs,25g/1oz ciabatta crumbs,25g/1oz grated parmesan cheese",The ultimate fish pie,30 mins to 1 hour,4.9,10,Serves 6
30 mins to 1 hour,Turkish and Middle Eastern,"aubergines,vegetable oil,butternut squash,spring onions,black pepper,lime,jasmine rice,cinnamon,lime,vegetable oil,cranberries,pomegranate,chives,lime,lime,garlic,spring onions,chilli,tahini,soy sauce,red wine vinegar,molasses","3 aubergines, halved lengthways,4 tbsp vegetable oil,600g/1lb 5oz butternut squash, peeled and cut into 2cm/¾in cubes ,4 spring onions, green parts only, thinly sliced,sea salt and freshly ground black pepper,lime wedges, to serve,250g/9oz jasmine rice,1 tsp salt,½ cinnamon stick,1 whole dried Persian lime (optional),1 tbsp vegetable oil,100g/3½oz dried cranberries,1 pomegranate, seeds only ,1 small bunch fresh chives, finely snipped,½ lime, very finely chopped (including skin),½ lime, juice only,1 garlic clove, chopped,4 spring onions, white parts only, chopped,½ green chilli, deseeded and chopped,250g/9oz tahini,2 tbsp soy sauce,1 tbsp red wine vinegar or sherry vinegar,4½ tbsp date molasses ",Roast aubergines with jewelled rice and tahini dressing,less than 30 mins,5,2,Serves 4–6
1 to 2 hours,Turkish and Middle Eastern,"peppers,tomato purée,salt,cayenne pepper,olive oil,aubergines,butter,plain flour,milk,Parmesan,lemon,black pepper,olive oil,lamb shoulder,pepper,tomato,onion,garlic,chilli,pepper,tomatoes,oregano,salt,black pepper,parsley","660g/1lb 7oz red peppers,50g/1¾oz tomato purée,½ tsp salt,1 tsp cayenne pepper,2 tbsp olive oil,4 medium aubergines,30g/1oz butter,30g/1oz plain flour,380ml/13fl oz full-fat milk,75g/2¾oz Parmesan cheese, grated,1 lemon, juice only,salt and freshly ground black pepper,4 tbsp olive oil,850g/1lb 14oz boned lamb shoulder, cut into 3cm/1¼in cubes,1 tbsp red pepper paste,2 tbsp tomato paste,1 onion, chopped,2 large garlic cloves, chopped,1 green finger chilli, sliced,1 green pepper, seeds removed and sliced,3 tomatoes, peeled and chopped,1 tsp dried oregano,1 tsp salt,freshly ground black pepper, to taste,200ml/7fl oz hot water,chopped flatleaf parsley, to serve",Rich lamb stew with aubergine purée (Hunkar begendi),less than 30 mins,4.75,4,Serves 4
10 to 30 mins,Turkish and Middle Eastern,"chicken breasts,ras-el-hanout,olive oil,sea salt,pomegranate,lettuce,flour tortillas,yoghurt,mint,sumac,black pepper","4 large chicken breasts,2 heaped tbsp ras-el-hanout spice mix,7-8 tbsp olive oil,sea salt, to taste,2-3 tbsp pomegranate molasses, to taste,rocket or lettuce leaves, to serve,4-6 flour tortillas ,400g/14oz full-fat Greek yoghurt,1 small bunch fresh mint, finely chopped,2 tbsp sumac,sea salt and freshly ground black pepper",Ras-el-hanout chicken wraps with a yoghurt sauce,less than 30 mins,4.6923076923076925,13,Serves 4-6
10 to 30 mins,Turkish and Middle Eastern,"fresh coriander,mint,lemon,coriander,cumin,sumac,olive oil,pork,pomegranate,tomatoes,spring onions,parsley,bulgur wheat,lemons,pomegranate,honey,olive oil,almonds,black pepper","1 large bunch fresh coriander, roughly chopped,1 large bunch fresh mint, leaves roughly chopped,1 lemon, juice only,1 tsp ground coriander,1 tsp ground cumin,½ tsp sumac,1 tbsp za’atar,50ml/1¾fl oz extra virgin olive oil,450g/1lb pork tenderloin, trimmed of sinew and cut into thick slices,1 pomegranate, seeds removed,3 ripe tomatoes, chopped,8 spring onions, trimmed, roughly chopped,1 large bunch fresh flatleaf parsley, leaves roughly chopped,1 tbsp za’atar,125g/4½oz bulgur wheat, soaked in cold water for 2 hours, then drained,2 lemons, juice only,2 tbsp pomegranate molasses,2 tbsp honey,100ml/3½fl oz extra virgin olive oil,50g/2oz flaked toasted almonds, to serve,sea salt and freshly ground black pepper",Spiced pork and pomegranate tabbouleh,less than 30 mins,4,1,Serves 4
30 mins to 1 hour,Turkish and Middle Eastern,"chicken,olive oil,sesame seeds,sumac,garlic,chilli,tomato,pomegranate,salt","1 whole chicken, about 2kg/4lb 8oz, jointed into 8 pieces,3 tbsp olive oil,1 tbsp sesame seeds,2 tbsp ground sumac,2 large garlic cloves, crushed or grated,½ -1 tsp chilli flakes,1 tbsp tomato purée,1 tbsp pomegranate molasses,1 tsp salt",Oven-roasted chicken with sumac and pomegranate molasses,1-2 hours,4.586206896551724,29,Serves 4-6
30 mins to 1 hour,Turkish and Middle Eastern,"chicken thighs,lemons,olive oil,garlic,bay leaves,paprika,cumin,coriander,dried chilli,cinnamon,nutmeg,sea salt,lettuce,yoghurt,tahini,garlic,salt,pomegranate","12 skinless and boneless chicken thighs,2 unwaxed lemons,100ml/3½fl oz olive oil,4 fat or 6 smaller garlic cloves, finely grated or minced,2 dried or fresh bay leaves,2 tsp paprika,2 tsp ground cumin,1 tsp ground coriander,1 tsp dried chilli flakes,¼ tsp ground cinnamon,¼ tsp freshly grated nutmeg,2 tsp sea salt flakes,lettuce leaves, to serve,250g/9oz plain yoghurt,4 tbsp tahini,1 fat or 2 smaller garlic cloves, finely grated or minced,fat pinch salt, or to taste,1 tbsp pomegranate seeds",Oven-cooked chicken shawarma,over 2 hours,4.735294117647059,34,Serves 6
10 to 30 mins,Turkish and Middle Eastern,"pomegranate,honey,caraway seeds,duck,vegetable stock,black pepper,chickpeas,olive oil,red onions,pomegranate,parsley,mint,pistachio,pomegranate","2 tsp pomegranate molasses (available in large supermarkets and Middle Eastern stores),1 tbsp runny honey,½ tsp caraway seeds, toasted and ground to a powder in a pestle and mortar or spice grinder,4 duck breasts, skin scored diagonally with a sharp knife,600ml/1pt 1fl oz vegetable stock,250g/9oz coarse bulgar wheat,salt and freshly ground black pepper,110g/4oz canned chickpeas, rinsed and drained,2-3 tbsp extra virgin olive oil,2 red onions, thinly sliced ,110g/4oz dry sour cherries, roughly chopped,1 tbsp pomegranate molasses,small bunch fresh flatleaf parsley, finely chopped,small bunch fresh mint, finely chopped,110g/4oz pistachio nuts, shells removed, toasted, chopped,1 pomegranate, seeds only (reserve 2 tbsp seeds for garnish)","Pomegranate glazed duck with bulgar, chickpea and pomegranate pilaf",less than 30 mins,4.666666666666667,3,Serves 4
10 to 30 mins,Turkish and Middle Eastern,"rice,butter,olive oil,orzo,chicken stock,mussels,dill","250g/9oz baldo rice,30g/1oz butter,3 tbsp olive oil,4 tbsp orzo (or arpa sehriye),500ml/18fl oz chicken stock,500g/1lb 2oz mussels, scrubbed and debearded,30g/1oz fresh dill, roughly chopped",Mussel pilav,less than 30 mins,5,1,Serves 2–3
30 mins to 1 hour,American,"olive oil,onion,garlic,celery,chillies,tomato purée,cocoa powder,vegetable stock,kidney beans,black pepper,cheese,fresh coriander,yoghurt","1 tbsp olive oil,1 onion, finely chopped,1 garlic clove,3 celery stalks, finely chopped,200g/7oz portobello/shiitake mushrooms, chopped,2 green chillies, chopped,100g/3½oz tomato purée,1 tsp cocoa powder (optional),150ml/5fl oz vegetable stock,2 x 400g tinned kidney beans, or mixed beans, rinsed and drained,salt and freshly ground black pepper,12 ready-made taco shells, warmed,150g/5oz Monterey Jack (or mild cheddar) cheese, grated,2 tbsp chopped fresh coriander (optional),200ml/7fl oz plain yoghurt",Vegetarian chilli tacos,less than 30 mins,5,7,Serves 4
10 to 30 mins,American,"olive oil,red onion,jackfruit,garlic,smoked paprika,cumin,oregano,black pepper,tomato,soy sauce,brown sugar,vegetable stock,chilli paste,flour tortillas","1 tbsp olive oil,1 red onion, sliced,1 x 600g tin jackfruit, drained and rinsed,2 garlic cloves, crushed,1 tsp smoked paprika,1 tsp cumin,½ tsp oregano,freshly ground black pepper,1 tsp tomato puree,2 tsp soy sauce,1 tsp treacle or dark brown sugar,200ml/7fl oz vegetable stock,chilli paste, chipotle paste or Tabasco, to taste,burger buns or flour tortillas, to serve",Vegan pulled jackfruit,less than 30 mins,4,7,Serves 2–3
over 2 hours,Turkish and Middle Eastern,"oxtail,coriander seeds,rapeseed oil,onions,Swiss chard,celery,cloves,parsley,coriander,mint,dill,celery,vegetable stock,pomegranate molasses,limes,pearl barley,butter,lemon juice,black pepper,turnips,turnips,butter,sugar","1kg/2lb 4oz–1.3kg/3lb oxtail (ask your butcher to cut it into sections between the vertebrae),2½ tbsp Persian stew spice mix or 2 tsp each ground turmeric, ground cumin and ground coriander seeds, mixed ,3 tbsp rapeseed oil,2 onions, finely chopped,1 bunch Swiss chard, white stalks finely chopped, leafy greens roughly chopped,4 celery sticks, cut into 2cm/1in chunks,4 garlic cloves, thinly sliced,3 handfuls fresh parsley, 2 roughly chopped, 1 finely chopped,2 handfuls fresh coriander, 1 roughly chopped, 1 finely chopped,1 handful fresh mint, roughly chopped,1 handful fresh dill, roughly chopped ,2 handfuls celery leaves, roughly chopped,2 litres/3½ pints vegetable stock or water,4 tbsp pomegranate molasses,2 dried limes, pricked,150g/5½oz pearl barley,50g/1¾oz butter, cut into cubes,100ml/3½fl oz freshly squeezed lemon juice ,salt and freshly ground black pepper,8–10 baby turnips, trimmed, or 2–3 regular turnips, cut into 3cm/1½in chunks,40g/1½oz butter,1 tbsp caster sugar",Persian-style oxtail stew,30 mins to 1 hour,5,1,Serves 4
1 to 2 hours,Turkish and Middle Eastern,"honey,pomegranate,lamb rump,cumin,oregano,figs,prunes,almonds,apple,rosewater,black pepper,butter,basmati rice,almonds,saffron,honey,vegetable stock","30g/1¼oz honey,2 tbsp pomegranate molasses,200ml/7fl oz warm water,500g/1lb 2oz lamb rump, cut into 2cm/1in thin strips,150g/5½oz lean minced lamb,½ tsp ground cumin,3 tbsp fresh oregano, chopped finely, plus four sprigs to serve,200g/7oz dried figs,200g/7oz prunes, stones removed,150g/5½oz whole blanched almonds,300g/10½oz apple, cored and thinly sliced,20ml/4 tsp rosewater,salt and freshly ground black pepper,40g/1½oz butter,200g/7oz basmati rice, washed and drained,200g/7oz whole almonds, blanched,2g saffron, soaked in 20ml/4 tsp rosewater for two hours,30g/1¼oz honey,200ml/7fl oz light vegetable stock",Ottoman lamb with saffron and rosewater rice pilaf,over 2 hours,4,1,Serves 4
